id,movie_path,dimension,hand,stimulus_type,order_emojis_slider, block,block,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,continuous_annotation,video_duration,valence_value,arousal_value,preference_value,engagement_value,familiarity_value,FMS_value,checkbox_Neutral,checkbox_Asco,checkbox_Felicidad,checkbox_Sorpresa,checkbox_Enojo,checkbox_Miedo,checkbox_Tristeza,continuous_annotation_luminance,stim_value_green,stim_value,recording_dur,subbloque_number,ID,Sesion,Tarea,Consumo de sustancias psicoactivas en las últimas 24 hs,Horas de sueño la noche anterior,date,exp_name,frame_rate,
991,../stimuli/practice_videos/2D/991.mp4,valence,right,negative,direct,0,,0,0,0,0,,,,,"[[0.0, 7.449999998243584e-05], [0.0, 0.016621799999938958], [0.0, 0.0332548000000088], [0.0, 0.057087799999976596], [0.0, 0.11338960000000498]]",0.0,None,None,None,None,None,None,False,False,False,False,False,False,False,"[[0.0, 0.002809299999967152], [0.0, 0.0094998999999234]]","[[140.0, 0.002809299999967152], [140.0, 0.0094998999999234]]","[[0.0, 0.002809299999967152], [0.0, 0.0094998999999234]]",,,90,A,non_immersive,No,8,2024-06-25_18h06.35.910,Experiment_VR_non_immersive,59.978251885865184,
992,../stimuli/practice_videos/2D/992.mp4,arousal,right,negative,direct,0,,0,1,1,1,,,,,"[[0.0, 8.149999996476254e-05], [0.0, 0.016529300000001967], [0.0, 0.03323750000004111], [0.0, 0.05616489999999885], [0.0, 0.11414809999996578], [0.0, 0.1646502999999484], [0.0, 0.21397509999997055], [0.0, 0.2633614999999736], [0.0, 0.34238909999999123], [0.0, 0.4205809999999701], [0.0, 0.5303909000000431], [0.0, 0.628501099999994], [0.0, 0.7310727999999926], [0.0, 0.833420599999954], [0.0, 0.9325651999999991]]",0.0,None,None,None,None,None,None,False,False,False,False,False,False,False,"[[0.0, 0.0018330999999989217], [0.0, 0.015523799999982657], [0.0, 0.03220370000008188], [0.0, 0.04866420000007565], [0.0, 0.06539270000007491], [0.0, 0.08201880000001438], [0.0, 0.09869160000005195], [0.0, 0.11534270000004199], [0.0, 0.13205340000001797], [0.0, 0.14869529999998576], [0.0, 0.16549480000003314], [0.0, 0.1820840999999973], [0.0, 0.1987154000000828], [0.0, 0.21532950000005258], [0.0, 0.23202100000003156], [0.0, 0.24818010000001323], [0.0, 0.26475920000007136], [0.0, 0.2814193000000387], [0.0, 0.2980680000000575], [0.0, 0.314882500000067]]","[[140.0, 0.0018330999999989217], [140.0, 0.015523799999982657], [140.0, 0.03220370000008188], [140.0, 0.04866420000007565], [140.0, 0.06539270000007491], [140.0, 0.08201880000001438], [140.0, 0.09869160000005195], [140.0, 0.11534270000004199], [140.0, 0.13205340000001797], [140.0, 0.14869529999998576], [140.0, 0.16549480000003314], [140.0, 0.1820840999999973], [140.0, 0.1987154000000828], [140.0, 0.21532950000005258], [140.0, 0.23202100000003156], [140.0, 0.24818010000001323], [140.0, 0.26475920000007136], [140.0, 0.2814193000000387], [140.0, 0.2980680000000575], [140.0, 0.314882500000067]]","[[0.0, 0.0018330999999989217], [0.0, 0.015523799999982657], [0.0, 0.03220370000008188], [0.0, 0.04866420000007565], [0.0, 0.06539270000007491], [0.0, 0.08201880000001438], [0.0, 0.09869160000005195], [0.0, 0.11534270000004199], [0.0, 0.13205340000001797], [0.0, 0.14869529999998576], [0.0, 0.16549480000003314], [0.0, 0.1820840999999973], [0.0, 0.1987154000000828], [0.0, 0.21532950000005258], [0.0, 0.23202100000003156], [0.0, 0.24818010000001323], [0.0, 0.26475920000007136], [0.0, 0.2814193000000387], [0.0, 0.2980680000000575], [0.0, 0.314882500000067]]",,,90,A,non_immersive,No,8,2024-06-25_18h06.35.910,Experiment_VR_non_immersive,59.978251885865184,
993,../stimuli/practice_videos/2D/993.mp4,arousal,right,negative,inverse,0,,0,2,2,2,,,,,"[[0.0, 7.690000006732589e-05]]",0.0,None,None,None,None,None,None,False,False,False,False,False,False,False,"[[0.0, 0.001674399999956222]]","[[140.0, 0.001674399999956222]]","[[-0.0, 0.001674399999956222]]",,,90,A,non_immersive,No,8,2024-06-25_18h06.35.910,Experiment_VR_non_immersive,59.978251885865184,
994,../stimuli/practice_videos/2D/994.mp4,arousal,right,negative,inverse,0,,0,3,3,3,,,,,"[[0.0, 7.78999999511143e-05]]",0.0,,,,,,,,,,,,,,,,,0.35986780000007457,,90,A,non_immersive,No,8,2024-06-25_18h06.35.910,Experiment_VR_non_immersive,59.978251885865184,
9,../stimuli/exp_videos/2D/9.mp4,arousal,right,negative,direct,,1,,,,,0,0,0,2,"[[0.0, 8.120000006783812e-05], [0.0, 0.016783100000111517], [0.0, 0.033584900000050766], [0.0, 0.05664769999998498], [0.0, 0.11165249999999105]]",0.0,None,None,None,None,None,None,False,False,False,False,False,False,False,"[[0.0, 0.001826100000016595], [0.0, 0.01602339999999458], [0.0, 0.03235399999994115], [0.0, 0.04904480000004696], [0.0, 0.06549840000002405], [0.0, 0.08229409999989912], [0.0, 0.09888309999996636]]","[[140.0, 0.001826100000016595], [140.0, 0.01602339999999458], [140.0, 0.03235399999994115], [140.0, 0.04904480000004696], [140.0, 0.06549840000002405], [140.0, 0.08229409999989912], [140.0, 0.09888309999996636]]","[[0.0, 0.001826100000016595], [0.0, 0.01602339999999458], [0.0, 0.03235399999994115], [0.0, 0.04904480000004696], [0.0, 0.06549840000002405], [0.0, 0.08229409999989912], [0.0, 0.09888309999996636]]",,1,90,A,non_immersive,No,8,2024-06-25_18h06.35.910,Experiment_VR_non_immersive,59.978251885865184,
8,../stimuli/exp_videos/2D/8.mp4,arousal,right,negative,inverse,,1,,,,,0,1,1,3,"[[0.0, 6.719999987581105e-05], [0.0, 0.016615399999864167], [0.0, 0.033574499999986074], [0.0, 0.05203740000001744], [0.0, 0.06667029999994156], [0.0, 0.08948800000007395], [0.0, 0.0999471000000085], [0.0, 0.1221003999999084], [0.0, 0.1334870000000592], [0.0, 0.15525309999998171], [0.0, 0.16666110000005574], [0.0, 0.18885279999994964], [0.0, 0.1999722999998994], [0.0, 0.22201029999996535], [0.0, 0.23342759999991358], [0.0, 0.25528910000002725], [0.0, 0.2666681000000608], [0.0, 0.28884019999986776], [0.0, 0.2999492999999802], [0.0, 0.3220395999999255], [0.0, 0.333404900000005], [0.0, 0.35549569999989217], [0.0, 0.36662569999998595], [0.0, 0.3887302999999065], [0.0, 0.3999418999999307], [0.0, 0.42202449999990677], [0.0, 0.4334435000000667], [0.0, 0.455600000000004], [0.0, 0.4666121000000203], [0.0, 0.4890262999999777], [0.0, 0.4999427000000196], [0.0, 0.5220904999998766], [0.0, 0.5334783999999217], [0.0, 0.5553924000000734], [0.0, 0.5666742999999315], [0.0, 0.5889422999998715]]",0.0,None,None,None,None,None,None,False,False,False,False,False,False,False,"[[0.0, 0.0017474000001129752], [0.0, 0.01563880000003337], [0.0, 0.032274600000164355], [0.0, 0.04908870000008392], [0.0, 0.06546400000001995], [0.0, 0.08222410000007585], [0.0, 0.0989099000000806], [0.0, 0.11545599999999467], [0.0, 0.13224680000007538], [0.0, 0.14896980000003168], [0.0, 0.16545850000011342], [0.0, 0.1822468000000299], [0.0, 0.19894280000016806], [0.0, 0.21546410000019023], [0.0, 0.23225700000011784], [0.0, 0.24896590000003016], [0.0, 0.26546920000009777], [0.0, 0.2822545000001355], [0.0, 0.29897390000019186], [0.0, 0.3156247000001713], [0.0, 0.3322704000001977]]","[[140.0, 0.0017474000001129752], [140.0, 0.01563880000003337], [140.0, 0.032274600000164355], [140.0, 0.04908870000008392], [140.0, 0.06546400000001995], [140.0, 0.08222410000007585], [140.0, 0.0989099000000806], [140.0, 0.11545599999999467], [140.0, 0.13224680000007538], [140.0, 0.14896980000003168], [140.0, 0.16545850000011342], [140.0, 0.1822468000000299], [140.0, 0.19894280000016806], [140.0, 0.21546410000019023], [140.0, 0.23225700000011784], [140.0, 0.24896590000003016], [140.0, 0.26546920000009777], [140.0, 0.2822545000001355], [140.0, 0.29897390000019186], [140.0, 0.3156247000001713], [140.0, 0.3322704000001977]]","[[-0.0, 0.0017474000001129752], [-0.0, 0.01563880000003337], [-0.0, 0.032274600000164355], [-0.0, 0.04908870000008392], [-0.0, 0.06546400000001995], [-0.0, 0.08222410000007585], [-0.0, 0.0989099000000806], [-0.0, 0.11545599999999467], [-0.0, 0.13224680000007538], [-0.0, 0.14896980000003168], [-0.0, 0.16545850000011342], [-0.0, 0.1822468000000299], [-0.0, 0.19894280000016806], [-0.0, 0.21546410000019023], [-0.0, 0.23225700000011784], [-0.0, 0.24896590000003016], [-0.0, 0.26546920000009777], [-0.0, 0.2822545000001355], [-0.0, 0.29897390000019186], [-0.0, 0.3156247000001713], [-0.0, 0.3322704000001977]]",,1,90,A,non_immersive,No,8,2024-06-25_18h06.35.910,Experiment_VR_non_immersive,59.978251885865184,
7,../stimuli/exp_videos/2D/7.mp4,arousal,right,positive,direct ,,1,,,,,0,2,2,0,"[[0.0, 7.230000005620241e-05], [0.0, 0.016504799999893294], [0.0, 0.033329500000036205], [0.0, 0.05576130000008561], [0.0, 0.11270450000006349]]",0.0,None,None,None,None,None,None,False,False,False,False,False,False,False,"[[0.0, 0.0018440999999711494], [0.0, 0.01596530000006169], [0.0, 0.03251969999996618], [0.0, 0.0489317999999912], [0.0, 0.06558399999994435], [0.0, 0.08231799999998657], [0.0, 0.09895299999993767]]","[[140.0, 0.0018440999999711494], [140.0, 0.01596530000006169], [140.0, 0.03251969999996618], [140.0, 0.0489317999999912], [140.0, 0.06558399999994435], [140.0, 0.08231799999998657], [140.0, 0.09895299999993767]]","[[0.0, 0.0018440999999711494], [0.0, 0.01596530000006169], [0.0, 0.03251969999996618], [0.0, 0.0489317999999912], [0.0, 0.06558399999994435], [0.0, 0.08231799999998657], [0.0, 0.09895299999993767]]",,1,90,A,non_immersive,No,8,2024-06-25_18h06.35.910,Experiment_VR_non_immersive,59.978251885865184,
4,../stimuli/exp_videos/2D/4.mp4,arousal,right,positive,inverse,,1,,,,,0,3,3,1,"[[0.0, 7.129999994504033e-05], [0.0, 0.016551899999967645], [0.0, 0.03328459999988809], [0.0, 0.05670039999995424], [0.0, 0.11403509999991002], [0.0, 0.16321109999989858], [0.0, 0.21298690000003262], [0.0, 0.28802489999998215], [0.0, 0.37116070000001855]]",0.0,None,None,None,None,None,None,False,False,False,False,False,False,False,"[[0.0, 0.0017072999999072636], [0.0, 0.01612729999988005], [0.0, 0.03273209999997562], [0.0, 0.04913699999997334], [0.0, 0.06601309999996374], [0.0, 0.0827887999998893], [0.0, 0.09926689999997507], [0.0, 0.11582909999992808], [0.0, 0.13258189999987735], [0.0, 0.14916079999989051], [0.0, 0.16590479999990748], [0.0, 0.18256669999982478], [0.0, 0.19917119999990973], [0.0, 0.21592359999999644]]","[[140.0, 0.0017072999999072636], [140.0, 0.01612729999988005], [140.0, 0.03273209999997562], [140.0, 0.04913699999997334], [140.0, 0.06601309999996374], [140.0, 0.0827887999998893], [140.0, 0.09926689999997507], [140.0, 0.11582909999992808], [140.0, 0.13258189999987735], [140.0, 0.14916079999989051], [140.0, 0.16590479999990748], [140.0, 0.18256669999982478], [140.0, 0.19917119999990973], [140.0, 0.21592359999999644]]","[[-0.0, 0.0017072999999072636], [-0.0, 0.01612729999988005], [-0.0, 0.03273209999997562], [-0.0, 0.04913699999997334], [-0.0, 0.06601309999996374], [-0.0, 0.0827887999998893], [-0.0, 0.09926689999997507], [-0.0, 0.11582909999992808], [-0.0, 0.13258189999987735], [-0.0, 0.14916079999989051], [-0.0, 0.16590479999990748], [-0.0, 0.18256669999982478], [-0.0, 0.19917119999990973], [-0.0, 0.21592359999999644]]",,1,90,A,non_immersive,No,8,2024-06-25_18h06.35.910,Experiment_VR_non_immersive,59.978251885865184,
6,../stimuli/exp_videos/2D/6.mp4,valence,right,positive,direct ,,3,,,,,0,0,0,0,"[[0.0, 7.210000012491946e-05], [0.0, 0.01680090000013479], [0.0, 0.033565400000043155], [0.0, 0.05669420000003811], [0.0, 0.11301670000011654], [0.0, 0.1632131000001209], [0.0, 0.21296410000013566], [0.0, 0.2889657000000625], [0.0, 0.37140150000004724]]",0.0,None,None,None,None,None,None,False,False,False,False,False,False,False,"[[0.0, 0.0022784000000228843], [0.0, 0.016111399999999776], [0.0, 0.03260329999989153], [0.0, 0.049129099999845494], [0.0, 0.0658163999999033], [0.0, 0.08241589999988719], [0.0, 0.09904839999990145], [0.0, 0.11579269999992903], [0.0, 0.13248349999980746], [0.0, 0.14907799999991767], [0.0, 0.1659429999999702], [0.0, 0.18244839999988471]]","[[140.0, 0.0022784000000228843], [140.0, 0.016111399999999776], [140.0, 0.03260329999989153], [140.0, 0.049129099999845494], [140.0, 0.0658163999999033], [140.0, 0.08241589999988719], [140.0, 0.09904839999990145], [140.0, 0.11579269999992903], [140.0, 0.13248349999980746], [140.0, 0.14907799999991767], [140.0, 0.1659429999999702], [140.0, 0.18244839999988471]]","[[0.0, 0.0022784000000228843], [0.0, 0.016111399999999776], [0.0, 0.03260329999989153], [0.0, 0.049129099999845494], [0.0, 0.0658163999999033], [0.0, 0.08241589999988719], [0.0, 0.09904839999990145], [0.0, 0.11579269999992903], [0.0, 0.13248349999980746], [0.0, 0.14907799999991767], [0.0, 0.1659429999999702], [0.0, 0.18244839999988471]]",,2,90,A,non_immersive,No,8,2024-06-25_18h06.35.910,Experiment_VR_non_immersive,59.978251885865184,
13,../stimuli/exp_videos/2D/13.mp4,valence,right,negative,direct,,3,,,,,0,1,1,2,"[[0.0, 6.230000008144998e-05], [0.0, 0.01676909999991949], [0.0, 0.0332464999999047], [0.0, 0.07216100000005099], [0.0, 0.14686230000006617], [0.0, 0.19612499999993815], [0.0, 0.27172249999989617], [0.0, 0.35364499999991494], [0.0, 0.46555450000005294], [0.0, 0.5620954999999412], [0.0, 0.6631382999999005], [0.0, 0.762388699999974]]",0.0,None,None,None,None,None,None,False,False,False,False,False,False,False,"[[0.0, 0.0018398999998225918], [0.0, 0.015961999999944965], [0.0, 0.032540700000026845], [0.0, 0.04915729999993346], [0.0, 0.06582600000001548], [0.0, 0.08247409999989941], [0.0, 0.09899129999985234], [0.0, 0.11578609999992295], [0.0, 0.1323923999998442], [0.0, 0.14916909999988093], [0.0, 0.16572939999991831], [0.0, 0.1826078999999936], [0.0, 0.19904109999993125], [0.0, 0.215768799999978], [0.0, 0.23234019999995326], [0.0, 0.2490493999998762], [0.0, 0.2657948999999462], [0.0, 0.28247169999986], [0.0, 0.2991478999999799], [0.0, 0.31578799999988405], [0.0, 0.3324209999998402], [0.0, 0.34914439999988645], [0.0, 0.36582029999999577], [0.0, 0.3824545999998463], [0.0, 0.3990414999998393], [0.0, 0.415795499999831], [0.0, 0.432415600000013], [0.0, 0.4491193999999723], [0.0, 0.46572869999999966], [0.0, 0.4824348999998165], [0.0, 0.4990488999999343], [0.0, 0.5158086999999796], [0.0, 0.5324982999998156], [0.0, 0.5490840999998454], [0.0, 0.565795099999832], [0.0, 0.5824168999999983], [0.0, 0.5991359999998167], [0.0, 0.6157808999998906], [0.0, 0.6324763000000075], [0.0, 0.6491836000000148], [0.0, 0.6658018999999058], [0.0, 0.6825099000000137], [0.0, 0.6990399999999681], [0.0, 0.7158233000000109], [0.0, 0.7324679999999262], [0.0, 0.7491222999999536]]","[[140.0, 0.0018398999998225918], [140.0, 0.015961999999944965], [140.0, 0.032540700000026845], [140.0, 0.04915729999993346], [140.0, 0.06582600000001548], [140.0, 0.08247409999989941], [140.0, 0.09899129999985234], [140.0, 0.11578609999992295], [140.0, 0.1323923999998442], [140.0, 0.14916909999988093], [140.0, 0.16572939999991831], [140.0, 0.1826078999999936], [140.0, 0.19904109999993125], [140.0, 0.215768799999978], [140.0, 0.23234019999995326], [140.0, 0.2490493999998762], [140.0, 0.2657948999999462], [140.0, 0.28247169999986], [140.0, 0.2991478999999799], [140.0, 0.31578799999988405], [140.0, 0.3324209999998402], [140.0, 0.34914439999988645], [140.0, 0.36582029999999577], [140.0, 0.3824545999998463], [140.0, 0.3990414999998393], [140.0, 0.415795499999831], [140.0, 0.432415600000013], [140.0, 0.4491193999999723], [140.0, 0.46572869999999966], [140.0, 0.4824348999998165], [140.0, 0.4990488999999343], [140.0, 0.5158086999999796], [140.0, 0.5324982999998156], [140.0, 0.5490840999998454], [140.0, 0.565795099999832], [140.0, 0.5824168999999983], [140.0, 0.5991359999998167], [140.0, 0.6157808999998906], [140.0, 0.6324763000000075], [140.0, 0.6491836000000148], [140.0, 0.6658018999999058], [140.0, 0.6825099000000137], [140.0, 0.6990399999999681], [140.0, 0.7158233000000109], [140.0, 0.7324679999999262], [140.0, 0.7491222999999536]]","[[0.0, 0.0018398999998225918], [0.0, 0.015961999999944965], [0.0, 0.032540700000026845], [0.0, 0.04915729999993346], [0.0, 0.06582600000001548], [0.0, 0.08247409999989941], [0.0, 0.09899129999985234], [0.0, 0.11578609999992295], [0.0, 0.1323923999998442], [0.0, 0.14916909999988093], [0.0, 0.16572939999991831], [0.0, 0.1826078999999936], [0.0, 0.19904109999993125], [0.0, 0.215768799999978], [0.0, 0.23234019999995326], [0.0, 0.2490493999998762], [0.0, 0.2657948999999462], [0.0, 0.28247169999986], [0.0, 0.2991478999999799], [0.0, 0.31578799999988405], [0.0, 0.3324209999998402], [0.0, 0.34914439999988645], [0.0, 0.36582029999999577], [0.0, 0.3824545999998463], [0.0, 0.3990414999998393], [0.0, 0.415795499999831], [0.0, 0.432415600000013], [0.0, 0.4491193999999723], [0.0, 0.46572869999999966], [0.0, 0.4824348999998165], [0.0, 0.4990488999999343], [0.0, 0.5158086999999796], [0.0, 0.5324982999998156], [0.0, 0.5490840999998454], [0.0, 0.565795099999832], [0.0, 0.5824168999999983], [0.0, 0.5991359999998167], [0.0, 0.6157808999998906], [0.0, 0.6324763000000075], [0.0, 0.6491836000000148], [0.0, 0.6658018999999058], [0.0, 0.6825099000000137], [0.0, 0.6990399999999681], [0.0, 0.7158233000000109], [0.0, 0.7324679999999262], [0.0, 0.7491222999999536]]",,2,90,A,non_immersive,No,8,2024-06-25_18h06.35.910,Experiment_VR_non_immersive,59.978251885865184,
